stable_gens,density,c,nSpecies,boardSize,dispersal,demes,alpha,bLim,maxDens,richness,gens,self
0.09824499272411048,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,535.0,0.0
0.0982203744092356,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,459.0,0.0
0.09840419847079478,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,493.0,0.0
0.09860863080491433,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,7.0,421.0,0.0
0.09833574278626869,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,2.0,863.0,0.0
0.09974586833351338,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,7.0,556.0,0.0
0.09801608218742493,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,523.0,0.0
0.09896883967977502,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,555.0,0.0
0.0973643597124184,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,400.0,0.0
0.09723880160907747,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,576.0,0.0
0.09931902332991867,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,403.0,0.0
0.0999047452655762,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,676.0,0.0
0.10287514081910823,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,53.0,990.0,0.0
0.09996236790323905,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,0.0
0.10151674039665598,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,56.0,1404.0,0.0
0.10163674425772261,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,66.0,920.0,0.0
0.10348078861222418,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,67.0,911.0,0.0
0.10193475750072523,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,0.0
0.10251117654219055,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,52.0,1132.0,0.0
0.10058784929792806,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,51.0,1012.0,0.0
0.1027107194724344,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,74.0,505.0,0.0
0.10267848475426714,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,79.0,709.0,0.0
0.10198913403332996,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,0.0
