stable_gens,density,c,nSpecies,boardSize,dispersal,demes,alpha,bLim,maxDens,richness,gens,self,jac,envdet,pie
0.11147828042245483,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,7.0,476.0,0.0,0.5125615620408734,0.9090909090909091,0.7723756475758535
0.1096902852253525,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,4.0,648.0,0.0,0.5345452232618015,1.0,0.775123456657922
0.11092678693668338,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,7.0,436.0,0.0,0.5677196732875959,0.8888888888888888,0.8122411900778028
0.10938164552877126,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,2.0,880.0,0.0,0.5773734431587435,1.0,0.9990886801029201
0.10899357181190412,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,7.0,268.0,0.0,0.4685408641660978,1.0,0.6608426796909294
0.10988539512363463,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,7.0,391.0,0.0,0.4641003489257088,0.9,0.3073163307373983
0.10990149490324172,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,2.0,596.0,0.0,0.7729716406728235,1.0,0.7972450360969429
0.0962762644842736,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,1.0,0.28302382999134096,0.0,0.8054137259124091
0.0963107895127209,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,39.0,1030.0,1.0,0.43808396143293576,0.61,0.5731466471275677
0.09676496940398027,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,41.0,1144.0,1.0,0.42174586939882686,0.5900000000000001,0.48568733044585377
0.0980471853195473,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,47.0,1295.0,1.0,0.3444087503381938,0.53,0.7102269105174511
